num_servers,avg_waiting_time,max_waiting_time,avg_queue_length,max_queue_length,avg_system_time,total_customers,customers_with_wait,server_cost,waiting_cost,total_cost
2,0.9019741692397164,7.716275565593264,0.7989690721649485,6,3.9472608667091222,194,84,400000.0,174982.98883250498,574982.988832505
3,0.1562338349003187,3.5849789445906026,0.20465116279069767,3,3.253287379789354,213,31,600000.0,33277.806833767885,633277.8068337679
4,0.03704091764151319,1.605691398102806,0.06046511627906977,1,2.992110101252231,215,13,800000.0,7963.797292925336,807963.7972929253
5,0.0,0.0,0.0,0,2.8245598526891733,218,0,1000000.0,0.0,1000000.0
